iter	RMSE
0	14.34879099
1	14.00602453
2	13.66722879
3	13.30995386
4	12.97743045
5	12.66524122
6	12.36139443
7	12.1015901
8	11.81910922
9	11.5339425
10	11.2524955
11	11.00079822
12	10.76941144
13	10.52869652
14	10.30396292
15	10.0713975
16	9.848667125
17	9.671139295
18	9.472384036
19	9.291472109
20	9.135152489
21	8.972393993
22	8.823928689
23	8.66824258
24	8.514389629
25	8.374311402
26	8.24658589
27	8.133309563
28	8.00519991
29	7.893556659
30	7.787757747
31	7.680926375
32	7.580683647
33	7.484918826
34	7.379152129
35	7.283384486
36	7.190593257
37	7.112811968
38	7.032355804
39	6.959640534
40	6.88938954
41	6.833173412
42	6.763346547
43	6.705071936
44	6.637627165
45	6.57366205
46	6.510298202
47	6.449877912
48	6.393194658
49	6.33806684
50	6.286278604
51	6.23921545
52	6.195196043
53	6.150848376
54	6.106050173
55	6.065442171
56	6.029498648
57	5.994297126
58	5.956110711
59	5.928730855
60	5.8987676
61	5.867569068
62	5.834572765
63	5.803234199
64	5.774295642
65	5.749478089
66	5.723720588
67	5.696163888
68	5.676892626
69	5.653834632
70	5.632643512
71	5.615411261
72	5.598182687
73	5.57897285
74	5.559743325
75	5.543044533
76	5.52898044
77	5.513916558
78	5.498090812
79	5.47889759
80	5.470362675
81	5.453583654
82	5.439433932
83	5.427193943
84	5.42037436
85	5.409235914
86	5.402604196
87	5.392301228
88	5.378205051
89	5.365580729
90	5.354710955
91	5.343331955
92	5.338030429
93	5.330921858
94	5.321027397
95	5.310430728
96	5.303023654
97	5.293106871
98	5.283239469
99	5.273359827
100	5.262383894
101	5.252407329
102	5.246421897
103	5.237852899
104	5.224110113
105	5.211167975
106	5.202394574
107	5.188894994
108	5.179467688
109	5.170711656
110	5.165503273
111	5.157888891
112	5.150438103
113	5.146296334
114	5.140333821
115	5.13619235
116	5.128127089
117	5.118400581
118	5.112242569
119	5.106241539
120	5.098532607
121	5.089115517
122	5.080689532
123	5.075088248
124	5.072438507
125	5.069418732
126	5.061702261
127	5.057993173
128	5.053580637
129	5.047089171
130	5.041651654
131	5.035793564
132	5.028607932
133	5.019924933
134	5.012613232
135	5.006926029
136	5.001100546
137	4.997614082
