iter	Passed	Remaining
0	47	46956
1	47	23657
2	47	15882
3	48	11980
4	48	9644
5	48	8081
6	49	6963
7	49	6123
8	49	5471
9	50	4953
10	50	4526
11	50	4172
12	51	3873
13	51	3618
14	51	3398
15	52	3203
16	52	3034
17	52	2882
18	53	2745
19	53	2623
20	53	2508
21	54	2406
22	54	2312
23	54	2225
24	55	2146
25	55	2073
26	55	2005
27	55	1942
28	56	1883
29	56	1829
30	56	1778
31	57	1731
32	57	1688
33	59	1679
34	59	1644
35	60	1614
36	60	1584
37	61	1557
38	62	1531
39	62	1506
40	63	1482
41	64	1460
42	64	1439
43	65	1418
44	65	1397
45	66	1373
46	66	1350
47	66	1327
48	67	1306
49	67	1285
50	68	1265
51	68	1246
52	68	1228
53	69	1210
54	69	1193
55	69	1177
56	70	1161
57	70	1145
58	70	1130
59	71	1116
60	71	1102
61	71	1088
62	72	1076
63	72	1063
64	73	1051
65	73	1039
66	73	1028
67	74	1017
68	74	1006
69	74	995
70	75	985
71	75	975
72	76	965
73	76	955
74	76	946
75	77	937
76	77	928
77	77	920
78	78	911
79	78	903
80	78	893
81	79	885
82	79	878
83	79	871
84	80	862
85	80	855
86	80	847
87	81	840
88	81	834
89	81	827
90	82	821
91	82	814
92	82	807
93	83	801
94	83	795
95	83	789
96	84	783
97	84	778
98	84	772
99	85	767
100	85	761
101	85	756
102	86	751
103	86	746
104	87	741
105	87	736
106	87	732
107	88	727
108	88	723
109	88	718
110	89	714
111	89	710
112	89	705
113	90	701
114	90	697
115	90	693
116	91	689
117	91	685
118	92	681
119	92	677
120	92	673
121	93	670
122	93	666
123	93	663
124	94	659
125	94	655
126	94	652
127	95	648
128	95	645
129	96	642
130	96	639
131	96	635
132	97	632
133	97	629
134	97	626
135	98	623
136	98	620
137	98	616
138	98	613
139	99	610
140	99	607
141	100	604
142	100	601
143	100	598
144	101	595
145	101	593
146	101	590
147	102	588
148	102	585
149	102	583
150	103	580
151	103	577
152	103	575
153	104	573
154	104	570
155	104	567
156	105	565
157	105	563
158	106	561
159	106	558
160	106	556
161	107	554
162	107	552
163	107	550
164	108	547
165	108	545
166	108	543
167	109	541
168	109	539
169	109	536
170	110	534
171	110	532
172	111	531
173	111	528
174	111	526
175	112	524
176	112	522
177	112	520
178	113	518
179	113	516
180	113	515
181	114	513
182	114	511
183	114	509
184	115	507
185	115	505
186	115	504
187	116	502
188	116	500
189	117	499
190	117	497
191	117	495
192	118	494
193	118	492
194	118	490
195	119	489
196	119	487
197	119	485
198	120	484
199	120	482
200	121	481
201	121	479
202	121	478
203	122	476
204	122	475
205	122	473
206	123	472
207	123	470
208	123	468
209	124	467
210	124	465
211	124	464
212	125	463
213	125	461
214	125	460
215	126	458
216	126	457
217	127	455
218	127	454
219	127	452
220	128	451
221	128	450
222	128	448
223	129	447
224	129	446
225	129	444
226	130	443
227	130	442
228	130	440
229	131	439
230	131	438
231	131	436
232	132	435
233	132	434
234	133	432
235	133	431
236	133	430
237	134	429
238	134	428
239	134	426
240	135	425
241	135	424
242	135	423
243	136	422
244	136	420
245	136	419
246	137	418
247	137	417
248	137	416
249	138	414
250	138	413
251	138	412
252	139	411
253	139	410
254	140	409
255	140	408
256	140	407
257	141	405
258	141	405
259	141	403
260	142	402
261	142	401
262	143	400
263	143	399
264	143	398
265	144	397
266	144	396
267	144	395
268	145	394
269	145	393
270	145	392
271	146	391
272	146	390
273	146	389
274	147	388
275	147	387
276	147	386
277	148	385
278	148	384
279	148	383
280	149	382
281	149	381
282	150	380
283	150	379
284	150	378
285	151	377
286	151	376
287	151	375
288	152	374
289	152	373
290	152	372
291	153	371
292	153	370
293	153	369
294	154	368
295	154	367
296	154	366
297	155	365
298	155	364
299	156	364
300	156	363
301	156	362
302	157	361
303	157	360
304	157	359
305	158	358
306	158	357
307	158	356
308	159	355
309	159	354
310	159	354
311	160	353
312	160	352
313	160	351
314	161	350
315	161	349
316	161	348
317	162	347
318	162	347
319	162	346
320	163	345
321	163	344
322	163	343
323	164	342
324	164	342
325	165	341
326	165	340
327	165	339
328	166	338
329	166	338
330	166	337
331	167	336
332	167	335
333	167	334
334	168	334
335	168	333
336	168	332
337	169	331
338	169	330
339	170	330
340	170	329
341	170	328
342	171	327
343	171	327
344	171	326
345	172	325
346	172	324
347	172	324
348	173	323
349	173	322
350	174	321
351	174	320
352	174	320
353	175	319
354	175	318
355	175	317
356	176	317
357	176	316
358	176	315
359	177	314
360	177	314
361	177	313
362	178	312
363	178	312
364	178	311
365	179	310
366	179	309
367	180	309
368	180	308
369	180	307
370	181	307
371	181	306
372	181	305
373	182	304
374	182	304
375	182	303
376	183	302
377	183	302
378	183	301
379	184	300
380	184	300
381	185	299
382	185	298
383	185	297
384	186	297
385	186	296
386	186	295
387	187	295
388	187	294
389	187	293
390	188	293
391	188	292
392	188	291
393	189	291
394	189	290
395	189	289
396	190	289
397	190	288
398	191	287
399	191	287
400	191	286
401	192	285
402	192	285
403	192	284
404	193	283
